Druck (Bar),Ohmzahl (Ohm)
0.5,1242
1,1322
1.5,1367
2,1401
2.5,1436
3,1455
3.5,1474
4,1494
4.5,1510
5,1521
5.5,1536
6,1545
6.5,1558
7,1570
7.5,1579
8,1588
8.5,1600
9,1610
9.5,1616
10,1626
10.5,1633
11,1640
11.5,1648
12,1655
12.5,1667
13,1682
14,1692
15,1704
16,1714
17,1725
18,1734
19,1744
20,1751
21,1759
22,1768
23,1776
24,1783
25,1792
26,1800
27,1805
28,1812
29,1818
30,1826
31,1833
32,1839
33,1844
34,1850
35,1855
36,1861
37,1867
38,1872
39,1878
40,1883
41,1888
42,1893
43,1898
